,ampl total power beta,ampl total power gamma,betw cen e-wpli delta,katz fractal dim,mean ampl beta,mean ampl gamma,mod index delta-beta,skewness ampl delta,source ampl delta,source ampl theta,std ampl beta,std ampl gamma
ampl total power beta_F8,1.0,0.0,0.29,0.0,0.0,0.0,0.114,0.0,0.0,0.0,0.0,0.0
ampl total power gamma_PO7,0.0,1.0,0.559,0.0,0.0,0.0,0.082,0.0,0.0,0.0,0.0,0.0
betw cen e-wpli delta_Fp1,0.29,0.559,1.0,0.257,0.274,0.524,0.008,0.011,0.005,0.001,0.245,0.521
katz fractal dim_FT8,0.0,0.0,0.257,1.0,0.0,0.0,0.089,0.0,0.0,0.0,0.0,0.0
mean ampl beta_F8,0.0,0.0,0.274,0.0,1.0,0.0,0.114,0.0,0.0,0.0,0.0,0.0
mean ampl gamma_PO7,0.0,0.0,0.524,0.0,0.0,1.0,0.082,0.0,0.0,0.0,0.0,0.0
mod index delta-beta_F5,0.114,0.082,0.008,0.089,0.114,0.082,1.0,0.0,0.804,0.058,0.046,0.08
skewness ampl delta_FT7,0.0,0.0,0.011,0.0,0.0,0.0,0.0,1.0,0.001,0.001,0.0,0.002
source ampl delta_RHeschlGyrus,0.0,0.0,0.005,0.0,0.0,0.0,0.804,0.001,1.0,0.0,0.001,0.0
source ampl theta_RSuperiorTemporalGyrus,0.0,0.0,0.001,0.0,0.0,0.0,0.058,0.001,0.0,1.0,0.0,0.0
std ampl beta_F8,0.0,0.0,0.245,0.0,0.0,0.0,0.046,0.0,0.001,0.0,1.0,0.0
std ampl gamma_PO7,0.0,0.0,0.521,0.0,0.0,0.0,0.08,0.002,0.0,0.0,0.0,1.0
