,betw cen e-plv alpha,betw cen e-plv beta,betw cen e-plv theta,clust coef e-icoh alpha,clust coef e-wpli alpha,dfa exponent delta,kurtosis ampl gamma,life time theta,microstate B,microstate C,node str e-wpli alpha
betw cen e-plv alpha_F6,1.0,0.0,0.904,0.227,0.431,0.232,0.211,0.169,0.161,0.003,0.086
betw cen e-plv beta_F4,0.0,1.0,0.84,0.828,0.629,0.086,0.515,0.447,0.033,0.134,0.031
betw cen e-plv theta_Pz,0.904,0.84,1.0,0.769,0.025,0.0,0.829,0.0,0.042,0.698,0.091
clust coef e-icoh alpha_T8,0.227,0.828,0.769,1.0,0.0,0.425,0.012,0.448,0.0,0.029,0.0
clust coef e-wpli alpha_CP4,0.431,0.629,0.025,0.0,1.0,0.584,0.246,0.272,0.0,0.054,0.0
dfa exponent delta_FT8,0.232,0.086,0.0,0.425,0.584,1.0,0.363,0.003,0.488,0.585,0.209
kurtosis ampl gamma_PO9,0.211,0.515,0.829,0.012,0.246,0.363,1.0,0.266,0.013,0.095,0.191
life time theta_C4,0.169,0.447,0.0,0.448,0.272,0.003,0.266,1.0,0.187,0.551,0.033
microstate B_Group1_Map2_SegDensity,0.161,0.033,0.042,0.0,0.0,0.488,0.013,0.187,1.0,0.065,0.0
microstate C_Group1_Map3_SegDensity,0.003,0.134,0.698,0.029,0.054,0.585,0.095,0.551,0.065,1.0,0.012
node str e-wpli alpha_C6,0.086,0.031,0.091,0.0,0.0,0.209,0.191,0.033,0.0,0.012,1.0
