id,Tap_simon_congruent,betw cen e-wpli gamma_FC4,source ampl beta_LRolandicOperculum
sub-010002,482.0,0,0.5874791
sub-010004,578.2758621,4,0.7279271
sub-010006,620.3571429,0,0.4454117
sub-010007,365.0,22,0.9851679
sub-010012,586.0714286,12,0.9905568
sub-010026,491.0,20,1.017536
sub-010037,586.5517241,14,1.327453
sub-010039,497.0,4,0.2098552
sub-010041,507.0,88,0.8325499
sub-010044,538.0,18,0.7539414
sub-010045,614.0,42,1.200674
sub-010046,663.1034483,2,3.783861
sub-010047,475.0,6,2.064393
sub-010048,515.0,0,2.496444
sub-010049,437.0,4,0.224329
sub-010050,4875.0,144,4.899711
sub-010051,476.0,22,1.066229
sub-010059,391.0,8,1.529829
sub-010081,483.0,26,1.036253
sub-010085,418.0,6,0.5012728
sub-010086,616.8,10,0.09376065
sub-010088,542.1428571,0,0.3709991
sub-010089,440.0,0,1.505974
sub-010090,1132.0,98,1.919135
sub-010091,864.0,0,0.3159145
sub-010092,841.1538462,0,1.213732
sub-010093,530.6896552,8,0.789892
sub-010104,450.0,18,1.546183
sub-010146,453.1034483,4,1.459449
sub-010148,516.0,0,0.357616
sub-010152,518.5714286,2,1.340432
sub-010199,586.5517241,0,0.6219141
sub-010219,546.0,148,0.2395142
sub-010222,495.0,24,3.139228
sub-010223,613.0434783,8,1.318385
sub-010234,1584.0,120,4.755722
sub-010239,590.0,0,0.8223909
sub-010242,799.2857143,38,1.220967
sub-010243,627.8571429,4,1.410582
sub-010244,477.0,20,0.734286
sub-010245,415.0,6,0.8355626
sub-010246,970.0,6,1.015609
sub-010247,639.0,6,0.7265229
sub-010248,510.0,8,0.879958
sub-010249,527.0,20,0.3097321
sub-010250,555.0,0,1.738889
sub-010251,383.7931034,48,0.1680995
sub-010254,570.0,14,0.5994912
sub-010255,383.7931034,0,2.105092
sub-010257,565.0,0,0.2413936
sub-010258,447.8571429,4,1.4891
sub-010267,436.0,0,0.4190149
sub-010268,564.0,18,0.3260069
sub-010272,353.7931034,0,0.1336665
sub-010275,453.2142857,14,0.9511288
sub-010283,542.0,16,0.8818811
sub-010284,483.0,2,0.71872
sub-010286,518.0,0,1.362232
sub-010287,424.0,2,0.472315
sub-010288,732.4137931,190,1.005211
sub-010289,411.0,6,0.4675845
sub-010290,625.3846154,0,0.7578565
sub-010291,568.0,0,0.4961125
