,ampl total power beta,ampl total power gamma,betw cen e-wpli delta,katz fractal dim,mean ampl beta,mean ampl gamma,mod index delta-beta,skewness ampl delta,source ampl delta,source ampl theta,std ampl beta,std ampl gamma,explained variance
1,-0.3482876595042938,-0.3426294560665563,0.09983415197290181,-0.3349540720131166,-0.34840568619811935,-0.342677429844479,-0.09114048594172082,-0.1995306202732557,0.24344115635877817,0.23187122702480778,-0.3476532059938939,-0.3439704346899517,0.5486714044640764
2,-0.2642614233626572,0.03508863663266279,-0.3896795424004395,-0.13920057285563836,-0.26367271379164914,0.03423077205884855,-0.05765062919435935,-0.022648665851691206,-0.548620486157873,-0.554303909835821,-0.2721463887436131,0.02958412395047379,0.12198147240110015
3,0.1420699170905121,-0.371977382159509,-0.3901833951470235,0.13348816202701522,0.14193653345016718,-0.37288981873635085,0.27098357746960955,0.5306164345393154,-0.016547546693962925,-0.06309090638034345,0.14071248439200762,-0.3649024681062994,0.0989867288120851
4,0.19914528687174082,-0.16810362675354967,-0.09020247008174011,0.11241708324571018,0.1992558232555615,-0.16623239088801525,-0.8577786932804903,-0.16884973719478305,-0.1443239888426611,-0.028364600836434828,0.1683950833340402,-0.17229846043792654,0.08610312563828837
5,-0.015705217729137386,-0.12608313664112508,0.820088996557149,0.09538466499652568,-0.01580090134596005,-0.12808833661551935,-0.007921878953739987,0.29130475537456246,-0.3117247032117163,-0.2950273975992437,-0.03161192886367768,-0.1241850035102514,0.06446213257992434
6,0.21131726359375744,-0.17592585265276758,0.06289590615525503,-0.07581533818545222,0.21195070158797275,-0.1734604324859226,0.3889641120350511,-0.7085750309714638,-0.061883260328379854,-0.3194983611555466,0.22732216793129637,-0.16948115744288125,0.048480819612318725
7,-0.16264995795494244,-0.05861293684732701,-0.03477731531339073,0.8364145808936967,-0.16082201432541549,-0.05402352901032977,0.11302798256166555,-0.249796396997862,-0.22758791207805995,0.2741886926119516,-0.18758626707227646,-0.05648513761602844,0.020642369123071297
8,0.08428695943738446,-0.010829375092324442,0.008713339575042897,-0.35012008221011587,0.0830541224871914,-0.015578052135150539,0.11926017672471725,-0.01563189642312522,-0.6825286478821878,0.6080446233448513,0.11334790575060222,-0.009953042016808375,0.01022484218696488
9,-0.3950335534855805,-0.14848736112410643,0.002541475888109116,0.028079345199308797,-0.3655831836982016,-0.1818960263617918,-0.027997364613799987,0.0030554028962088745,0.0011106181407001452,-0.012728244155397743,0.7419899832237961,0.32072151951928807,0.0002519570527378289
10,0.16512657573831233,-0.4104154487123948,-0.0029302850165858945,-0.01242919747012947,0.15667285134978198,-0.3302020744813178,0.0038868519662243394,-0.0032925339565682233,-0.00028178632223664494,0.0041157268752840944,-0.3225814133218684,0.7526272479463098,0.000166059507256249
11,0.1306256330592779,0.6792081392326852,-0.0010683906280454147,0.0027025559491890253,-0.09789503437432243,-0.7139416272029577,0.0001826063636605279,-0.0032740508078201993,0.0019767148764891296,-0.0005543961588460936,-0.03291427208324576,0.034790813371301334,2.4458793943777962e-05
12,0.6856942534517632,-0.11196067696252812,2.272595715086837e-05,0.0015552644048430738,-0.709595627768766,0.11502967512990261,-0.0005350432072307202,-9.121512032825868e-05,-0.00026233266167934293,-0.0007553529243709403,0.022680254794640416,-0.003559381827792014,4.629828232865309e-06
