,adjusted R-squared
PC 1,0.17265538256483803
PC 1-2,0.18457494484113612
PC 1-3,0.2056124421986235
PC 1-4,0.20736167820158136
PC 1-5,0.2259173007455254
PC 1-6,0.22835487229490803
PC 1-7,0.22241914465360768
PC 1-8,0.21642722728005193
PC 1-9,0.23177295584197288
PC 1-10,0.25277559198583754
PC 1-11,0.24685860052685493
PC 1-12,0.24172551708887813
PC 1-13,0.23970195053146393
PC 1-14,0.23488301067843353
PC 1-15,0.26913434237116773
PC 1-16,0.2892810215707886
PC 1-17,0.2913624759598755
PC 1-18,0.2892305757048699
