,N significant,min corr,max corr,within eeg 25,within eeg 50,within eeg 75,multivar dc eeg 25,multivar dc eeg 50,multivar dc eeg 75,% significant multivar dc
Cvlt_attention_span,19.0,0.2441669395388274,0.3174383853472406,0.3795610543798243,0.5035811401656205,0.6997572998408634,0.4456209915942787,0.5924077187596909,0.7288560802758743,0.9941520467836257
Cvlt_delayed_memory,7.0,0.2716689339172476,0.2961810108963745,0.0887518961451206,0.1421659772916165,0.281739952373233,0.11828064033629172,0.22820388346811848,0.4903472078642694,0.7142857142857143
Pts-2_subtest_3,2.0,0.2935110079448513,0.326513909148004,0.0529658639330297,0.0529658639330297,0.0529658639330297,0.1393979209272703,0.1393979209272703,0.1393979209272703,1.0
Rwt_animal_categories,7.0,0.1988156901080781,0.3109461987702721,0.0605049600005584,0.1332147494448815,0.2136768431135999,0.08110819166880001,0.11101912579777279,0.2069979618142964,0.47619047619047616
Rwt_s_words,8.0,0.260827171351316,0.321290833751773,0.0783167641677303,0.6692976307624164,0.6714392370584649,0.09945844475361948,0.6447030203303568,0.6633056940562033,0.5357142857142857
Tap_alertness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tap_simon_congruent,7.0,0.2780361616235957,0.3254767923511324,0.1328229744352369,0.2388667295297369,0.3390701592962379,0.10516550344673438,0.20149228022024518,0.39379860080351353,0.6190476190476191
Tap_simon_incongruent,6.0,0.2639344262852322,0.3673227088770407,0.311263524883045,0.381934249490284,0.591085620871757,0.18235915737462377,0.5165229783153727,0.6200044360296868,0.9333333333333333
Tap_working_memory,18.0,0.2493284579837043,0.329860988248729,0.1180556110492254,0.2375516280089225,0.3499151805182321,0.14830544215739455,0.22599284252592758,0.33958520448259816,0.8300653594771242
Tmt-A,19.0,0.2577873671580273,0.3269312876148076,0.0860237809932219,0.1755198772572049,0.3364856195018596,0.1112244327376537,0.1851386766297826,0.3699261375231121,0.6491228070175439
Tmt-B,11.0,0.2885064336200538,0.3426007105226423,0.15150632998441244,0.2686574320359643,0.4349378637363037,0.08425273773409508,0.44307758562667443,0.6462251915843042,0.6
Vocabulary_test,5.0,0.2818808124737085,0.3075787975958353,0.09153042925382182,0.11991866855375574,0.1862248816399519,0.09547896846797455,0.1264494360170788,0.19885827203053213,0.4
